,rok,měsíc,den,T-AVG,TMA,TMI,SRA,Flag
266,1775,9,24,14.1,18.5,9.6,,
267,1775,9,25,15.8,20.3,9.9,,
268,1775,9,26,16.2,21.0,10.7,,
269,1775,9,27,16.3,20.3,12.0,,
270,1775,9,28,15.6,21.1,10.6,,
271,1775,9,29,13.9,17.8,8.8,,
272,1775,9,30,15.1,19.3,11.4,,
273,1775,10,1,13.1,17.7,6.6,,
274,1775,10,2,14.6,18.0,10.5,,
275,1775,10,3,14.0,16.7,10.2,,
276,1775,10,4,14.1,15.6,12.8,,
277,1775,10,5,15.2,17.5,12.0,,
278,1775,10,6,12.6,15.8,11.0,,
279,1775,10,7,11.0,13.3,9.0,,
280,1775,10,8,12.6,16.4,8.3,,
281,1775,10,9,12.4,16.4,6.5,,
282,1775,10,10,14.1,16.6,11.4,,
283,1775,10,11,14.0,17.7,10.5,,
284,1775,10,12,11.9,15.5,8.3,,
285,1775,10,13,14.2,18.6,9.4,,
286,1775,10,14,15.9,19.1,11.9,,
287,1775,10,15,12.7,15.9,11.2,,
288,1775,10,16,11.1,13.5,9.0,,
289,1775,10,17,11.2,14.4,6.6,,
290,1775,10,18,11.8,14.2,9.1,,
291,1775,10,19,13.1,15.4,9.4,,
292,1775,10,20,12.5,14.8,10.7,,
293,1775,10,21,12.3,18.0,5.5,,
294,1775,10,22,10.7,14.4,7.3,,
295,1775,10,23,11.2,14.2,8.3,,
296,1775,10,24,7.5,11.2,6.7,,
297,1775,10,25,8.5,10.8,6.6,,
298,1775,10,26,7.0,8.4,6.6,,
299,1775,10,27,6.0,7.1,5.6,,
300,1775,10,28,6.2,6.7,5.4,,
301,1775,10,29,4.4,6.3,2.5,,
302,1775,10,30,2.9,5.1,0.2,,
303,1775,10,31,4.6,6.3,2.7,,
304,1775,11,1,2.3,4.7,1.1,,
305,1775,11,2,2.7,3.0,2.1,,
306,1775,11,3,3.0,3.4,2.7,,
307,1775,11,4,6.1,7.2,2.9,,
308,1775,11,5,12.3,14.2,6.5,,
309,1775,11,6,7.9,12.4,4.8,,
310,1775,11,7,7.9,9.8,6.0,,
311,1775,11,8,7.0,9.6,3.8,,
312,1775,11,9,7.8,9.9,5.5,,
313,1775,11,10,5.1,6.8,3.8,,
314,1775,11,11,6.1,7.3,4.9,,
315,1775,11,12,8.3,10.4,3.8,,
316,1775,11,13,11.9,14.0,10.1,,
317,1775,11,14,8.5,11.7,6.5,,
318,1775,11,15,3.5,7.4,2.7,,
319,1775,11,16,1.8,2.9,1.2,,
320,1775,11,17,2.7,4.0,0.0,,
321,1775,11,18,3.8,5.0,2.0,,
322,1775,11,19,1.1,4.3,0.0,,
323,1775,11,20,-0.3,0.6,-0.8,,
324,1775,11,21,0.3,1.3,-1.6,,
325,1775,11,22,2.2,3.0,0.0,,
326,1775,11,23,3.0,4.0,2.0,,
327,1775,11,24,2.4,2.8,1.8,,
328,1775,11,25,1.4,2.4,1.0,,
329,1775,11,26,1.9,2.9,1.0,,
330,1775,11,27,1.9,2.3,1.1,,
331,1775,11,28,2.8,3.9,2.0,,
332,1775,11,29,3.5,4.1,2.0,,
333,1775,11,30,3.2,4.0,1.9,,
334,1775,12,1,2.1,3.8,0.7,,
335,1775,12,2,-0.2,2.0,-1.5,,
